SEED,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
-479685055203914077,1,50,79,508127487,2210726,4998666,6716018,5916771,23.00,29.00,25.00,27.00,25.00,128.00,156.00,136.00,144.00,136.00,5.57,5.38,5.44,5.33,5.44
-7859182848886445220,2,50,76,511369130,3792303,4689015,3509648,3952986,14.00,26.00,21.00,20.00,17.00,142.00,234.00,196.00,184.00,162.00,10.14,9.00,9.33,9.20,9.53
2313512815357594337,3,50,78,508216688,2931625,3443483,3222068,3674067,19.00,28.00,22.00,22.00,20.00,148.00,216.00,170.00,166.00,154.00,7.79,7.71,7.73,7.55,7.70
7403346145066775330,4,50,78,506914476,2578314,3165930,3283993,3686500,20.00,28.00,22.00,24.00,21.00,114.00,158.00,124.00,138.00,122.00,5.70,5.64,5.64,5.75,5.81
6561288834023025633,5,50,78,506912680,3209975,3666279,3268279,4072699,12.00,28.00,21.00,20.00,16.00,148.00,256.00,206.00,208.00,180.00,12.33,9.14,9.81,10.40,11.25
-7918233617556956162,6,50,78,510932371,2763574,4394540,2798302,3260090,18.00,28.00,23.00,24.00,21.00,188.00,260.00,216.00,228.00,204.00,10.44,9.29,9.39,9.50,9.71
244137203574042776,7,50,80,507616379,2989967,3109297,2694233,3030598,23.00,30.00,26.00,25.00,23.00,152.00,192.00,168.00,172.00,162.00,6.61,6.40,6.46,6.88,7.04
-2224582162412401859,8,50,79,507197577,2870754,2734584,2619113,2888245,25.00,29.00,26.00,27.00,26.00,142.00,166.00,148.00,154.00,148.00,5.68,5.72,5.69,5.70,5.69
-3013094592530683463,9,50,81,506721099,1441764,2235402,2593535,3048041,26.00,31.00,28.00,27.00,26.00,152.00,190.00,172.00,156.00,152.00,5.85,6.13,6.14,5.78,5.85
-916138390092754613,10,50,83,506371759,1294577,1754630,2503539,2738570,29.00,33.00,31.00,32.00,31.00,132.00,148.00,140.00,144.00,140.00,4.55,4.48,4.52,4.50,4.52
-8225060947030224825,11,50,79,505665582,2090124,1902030,2310908,2694606,22.00,29.00,26.00,28.00,26.00,136.00,188.00,168.00,178.00,168.00,6.18,6.48,6.46,6.36,6.46
