MODEL,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
08.esg4wsc,1,5,6,501022398,165840,285387,864482,417028,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,2,5,6,500856046,134622,189993,284298,299925,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,3,5,6,500852228,143443,174786,278501,301801,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,4,5,6,500908650,151845,180343,380744,493428,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,5,5,6,500917156,142486,182236,269518,293055,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,6,5,6,501725459,136931,175090,262569,322780,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,7,5,6,500840343,131559,174491,256050,275284,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,8,5,6,501064620,139325,169471,267387,278730,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,9,5,6,500811471,131773,162278,255778,273754,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,10,5,6,500996487,131524,161397,246869,274139,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,11,5,6,500828039,130594,198797,254525,262846,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,12,5,6,500887308,133172,163769,246097,263951,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,13,5,6,501218746,249310,309828,472335,599605,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,14,5,6,501298923,250732,311789,468071,541561,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,15,5,6,501331637,261559,309061,505686,509696,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,16,5,6,501307790,243762,321015,467064,510031,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,17,5,6,500923656,128997,160783,238981,285981,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,18,5,6,500857270,130821,154410,239322,265533,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,19,5,6,501223838,252594,310305,472657,507601,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,20,5,6,501310672,241948,306906,469705,513086,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,21,5,6,501321960,250137,334394,480875,508408,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,22,5,6,501304199,281047,308804,482822,531607,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,23,5,6,502438220,386313,331975,460812,508931,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,24,5,6,501339808,238906,301200,500662,505633,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,25,5,6,501293941,238393,300283,457268,529810,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,26,5,6,501303235,272478,302927,455144,486906,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,27,5,6,501329254,237877,294963,464754,486488,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,28,5,6,501290959,239458,294949,454991,502404,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,29,5,6,501338735,238395,302212,457359,491451,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,30,5,6,501289889,240613,332301,454357,3742288,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,31,5,6,501420721,226363,282465,436554,507183,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,32,5,6,501282835,226191,301463,468906,467588,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,33,5,6,501276362,227200,297109,433565,467489,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,34,5,6,501253275,227446,339656,438529,468901,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,35,5,6,501267286,255361,282560,433570,485769,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,36,5,6,501342151,238481,293716,455813,485706,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,37,5,6,501298028,256466,295267,456780,491893,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,38,5,6,501296786,229726,291689,447427,469394,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,39,5,6,501248892,230325,282615,448612,470612,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,40,5,6,501252923,228526,280689,437294,505044,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,41,5,6,501272252,229090,281063,432964,481602,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,42,5,6,501294433,227429,283057,475323,470814,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,43,5,6,501292240,226110,310479,434014,481704,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,44,5,6,501268652,227573,284502,433202,483586,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,45,5,6,501265179,230759,282357,437995,471026,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,46,5,6,501306255,226557,310727,438063,468287,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,47,5,6,501308803,228043,278394,431498,466688,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,48,5,6,501266615,225308,279834,433719,465347,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,49,5,6,501266432,220610,280160,433914,465072,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
